I0421 05:31:21.679310       1 nfd-worker.go:471] feature discovery completed
I0421 05:32:21.910198       1 local.go:115] starting hooks...
E0421 05:32:21.912203       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:32:21.912268       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:32:21.912322       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:32:21.912383       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:32:21.912427       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:32:21.912484       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:32:21.912543       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:32:21.912601       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:32:21.912658       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:32:21.912717       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:32:21.912777       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:32:21.912842       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:32:21.912904       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:32:21.912965       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:32:21.951896       1 nfd-worker.go:459] starting feature discovery...
I0421 05:32:21.952272       1 nfd-worker.go:471] feature discovery completed
I0421 05:33:22.506151       1 local.go:115] starting hooks...
E0421 05:33:22.514703       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:33:22.514789       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:33:22.514853       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:33:22.514923       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:33:22.514976       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:33:22.515042       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:33:22.515108       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:33:22.515177       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:33:22.515246       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:33:22.515322       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:33:22.515397       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:33:22.515498       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:33:22.515574       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:33:22.515650       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:33:22.595964       1 nfd-worker.go:459] starting feature discovery...
I0421 05:33:22.596566       1 nfd-worker.go:471] feature discovery completed
I0421 05:34:22.879278       1 local.go:115] starting hooks...
E0421 05:34:22.882406       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:34:22.882494       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:34:22.882570       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:34:22.882651       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:34:22.882712       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:34:22.882764       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:34:22.882819       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:34:22.882871       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:34:22.882925       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:34:22.882979       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:34:22.883029       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:34:22.883081       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:34:22.883130       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:34:22.883179       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:34:22.925193       1 nfd-worker.go:459] starting feature discovery...
I0421 05:34:22.925549       1 nfd-worker.go:471] feature discovery completed
I0421 05:35:23.139681       1 local.go:115] starting hooks...
E0421 05:35:23.141762       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:35:23.141818       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:35:23.141869       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:35:23.141926       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:35:23.141967       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:35:23.142028       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
