NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE     IP               NODE              NOMINATED NODE   READINESS GATES
istio-system                     istiod-6995577d4-rqkxf                                            1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.246   jain-dgx-server   <none>           <none>
knative-eventing                 eventing-controller-86647cbc5b-74f5h                              1/1     Running                    8 (6h32m ago)    5d22h   10.233.119.222   jain-dgx-server   <none>           <none>
knative-eventing                 eventing-webhook-6f48bb5f4c-9g22s                                 1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.167   jain-dgx-server   <none>           <none>
knative-serving                  activator-855b695596-gsl4r                                        2/2     Running                    35 (6h31m ago)   5d22h   10.233.119.202   jain-dgx-server   <none>           <none>
knative-serving                  autoscaler-7cbddfc9f7-nlkt8                                       2/2     Running                    20 (6h31m ago)   5d22h   10.233.120.57    jain-dgx-server   <none>           <none>
knative-serving                  controller-6657c556fd-gh2l8                                       2/2     Running                    40 (6h31m ago)   5d22h   10.233.119.129   jain-dgx-server   <none>           <none>
knative-serving                  domain-mapping-544987775c-44vdw                                   2/2     Running                    47 (6h32m ago)   5d22h   10.233.119.188   jain-dgx-server   <none>           <none>
knative-serving                  domainmapping-webhook-6b48bdc856-xzltg                            2/2     Running                    48 (6h31m ago)   5d22h   10.233.119.136   jain-dgx-server   <none>           <none>
knative-serving                  net-istio-controller-6fbdbd9959-tzxhx                             2/2     Running                    34 (6h31m ago)   5d22h   10.233.119.152   jain-dgx-server   <none>           <none>
knative-serving                  net-istio-webhook-7d4879cd7f-z8skv                                2/2     Running                    40 (6h32m ago)   5d22h   10.233.119.197   jain-dgx-server   <none>           <none>
knative-serving                  webhook-665c977469-gvbx5                                          2/2     Running                    47 (6h32m ago)   5d22h   10.233.120.46    jain-dgx-server   <none>           <none>
kube-system                      calico-kube-controllers-6dfcdfb99-ftq5q                           1/1     Running                    8 (6h52m ago)    5d22h   10.233.119.209   jain-dgx-server   <none>           <none>
kube-system                      calico-node-bmhr4                                                 1/1     Running                    5 (15h ago)      5d22h   192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      calico-node-z7p9d                                                 1/1     Running                    13 (6h52m ago)   5d22h   192.168.1.248    jain-dgx-server   <none>           <none>
kube-system                      coredns-645b46f4b6-js8ql                                          1/1     Running                    5 (15h ago)      5d22h   10.233.66.140    jainhpmgmt        <none>           <none>
kube-system                      coredns-645b46f4b6-m4zhl                                          1/1     Running                    8 (6h52m ago)    5d22h   10.233.119.194   jain-dgx-server   <none>           <none>
kube-system                      dns-autoscaler-659b8c48cb-bdf68                                   1/1     Running                    8 (6h52m ago)    5d22h   10.233.119.137   jain-dgx-server   <none>           <none>
kube-system                      kube-apiserver-jain-dgx-server                                    1/1     Running                    9 (6h52m ago)    5d22h   192.168.1.248    jain-dgx-server   <none>           <none>
kube-system                      kube-apiserver-jainhpmgmt                                         1/1     Running                    42 (6h42m ago)   5d22h   192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      kube-controller-manager-jain-dgx-server                           1/1     Running                    11 (6h52m ago)   5d22h   192.168.1.248    jain-dgx-server   <none>           <none>
kube-system                      kube-controller-manager-jainhpmgmt                                1/1     Running                    12 (6h52m ago)   5d22h   192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      kube-proxy-2hsl4                                                  1/1     Running                    7 (6h52m ago)    5d22h   192.168.1.248    jain-dgx-server   <none>           <none>
kube-system                      kube-proxy-xdhk6                                                  1/1     Running                    5 (15h ago)      5d22h   192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      kube-scheduler-jain-dgx-server                                    1/1     Running                    10 (6h52m ago)   5d22h   192.168.1.248    jain-dgx-server   <none>           <none>
kube-system                      kube-scheduler-jainhpmgmt                                         1/1     Running                    11 (6h52m ago)   5d22h   192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      kubernetes-dashboard-5779d79d4c-t4gsj                             1/1     Running                    9 (6h52m ago)    5d22h   10.233.119.213   jain-dgx-server   <none>           <none>
kube-system                      kubernetes-metrics-scraper-6cdb9fb87f-l5k72                       1/1     Running                    10 (6h32m ago)   5d22h   10.233.119.215   jain-dgx-server   <none>           <none>
kube-system                      nodelocaldns-2g9bm                                                1/1     Running                    13 (15h ago)     5d      192.168.1.249    jainhpmgmt        <none>           <none>
kube-system                      nodelocaldns-2gdzm                                                1/1     Running                    11 (6h52m ago)   5d      192.168.1.248    jain-dgx-server   <none>           <none>
kubeflow-deepops-example-com     ml-pipeline-ui-artifact-fb8c99584-x26n7                           2/2     Running                    14 (6h52m ago)   5d20h   10.233.119.249   jain-dgx-server   <none>           <none>
kubeflow-deepops-example-com     ml-pipeline-visualizationserver-6659778c46-pglw8                  2/2     Running                    14 (6h52m ago)   5d20h   10.233.119.203   jain-dgx-server   <none>           <none>
kubeflow                         admission-webhook-deployment-7d56d4455f-q5mgb                     1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.146   jain-dgx-server   <none>           <none>
kubeflow                         cache-server-6b44c46d47-cwfcx                                     2/2     Running                    18 (6h52m ago)   5d22h   10.233.119.196   jain-dgx-server   <none>           <none>
kubeflow                         centraldashboard-d45f69689-h8srw                                  2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.147   jain-dgx-server   <none>           <none>
kubeflow                         jupyter-web-app-deployment-57864d5958-hwgcm                       2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.144   jain-dgx-server   <none>           <none>
kubeflow                         katib-controller-7964698977-lvbjp                                 1/1     Running                    10 (6h52m ago)   5d22h   10.233.119.172   jain-dgx-server   <none>           <none>
kubeflow                         katib-db-manager-57474ccbbf-mpmbb                                 1/1     Running                    11 (6h32m ago)   5d22h   10.233.119.130   jain-dgx-server   <none>           <none>
kubeflow                         katib-mysql-66c8cdff4f-4px7x                                      1/1     Running                    7 (6h37m ago)    5d22h   10.233.119.220   jain-dgx-server   <none>           <none>
kubeflow                         katib-ui-57d77d7d75-jqg24                                         2/2     Running                    51 (6h32m ago)   5d22h   10.233.119.150   jain-dgx-server   <none>           <none>
kubeflow                         kserve-controller-manager-96b896c66-txffr                         2/2     Running                    16 (6h33m ago)   5d22h   10.233.119.221   jain-dgx-server   <none>           <none>
kubeflow                         kserve-models-web-app-9fbcd79f5-xmdlm                             2/2     Running                    16 (6h32m ago)   5d22h   10.233.119.156   jain-dgx-server   <none>           <none>
kubeflow                         kubeflow-pipelines-profile-controller-6f6bc888df-qmxng            1/1     Running                    7 (6h52m ago)    5d22h   10.233.120.58    jain-dgx-server   <none>           <none>
kubeflow                         metacontroller-0                                                  1/1     Running                    11 (6h33m ago)   5d22h   10.233.119.174   jain-dgx-server   <none>           <none>
kubeflow                         metadata-envoy-deployment-7b49bdb748-v98w4                        1/1     Running                    7 (6h52m ago)    5d22h   10.233.119.234   jain-dgx-server   <none>           <none>
kubeflow                         metadata-grpc-deployment-6d744c66bb-wfqxl                         2/2     Running                    57 (6h31m ago)   5d22h   10.233.119.162   jain-dgx-server   <none>           <none>
kubeflow                         metadata-writer-5bfdbf79b7-9n4sp                                  2/2     Running                    34 (6h29m ago)   5d22h   10.233.119.143   jain-dgx-server   <none>           <none>
kubeflow                         minio-549846c488-rbjp2                                            2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.180   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-86d69497fc-r96w7                                      2/2     Running                    23 (6h52m ago)   5d22h   10.233.120.39    jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-persistenceagent-5789446f9c-zdcj5                     2/2     Running                    26 (6h31m ago)   5d22h   10.233.119.216   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-scheduledworkflow-fb9fbd76b-gtbw4                     2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.189   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-ui-74fcbdddd9-xsl27                                   2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.235   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-viewer-crd-bdf696cb9-pz4cc                            2/2     Running                    47 (6h32m ago)   5d22h   10.233.120.40    jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-visualizationserver-845d745b46-md48c                  2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.204   jain-dgx-server   <none>           <none>
kubeflow                         mysql-5f968d4688-ffd8d                                            2/2     Running                    14 (6h37m ago)   5d22h   10.233.119.253   jain-dgx-server   <none>           <none>
kubeflow                         notebook-controller-deployment-7cdb9d9f7b-kbdcc                   2/2     Running                    34 (6h31m ago)   5d22h   10.233.119.179   jain-dgx-server   <none>           <none>
kubeflow                         profiles-deployment-7cf8b9b794-g2llh                              3/3     Running                    59 (6h31m ago)   5d22h   10.233.119.166   jain-dgx-server   <none>           <none>
kubeflow                         tensorboard-controller-deployment-697c566bd5-478bw                3/3     Running                    45 (6h31m ago)   5d22h   10.233.119.161   jain-dgx-server   <none>           <none>
kubeflow                         tensorboards-web-app-deployment-67bf5977c9-49g85                  2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.247   jain-dgx-server   <none>           <none>
kubeflow                         training-operator-64886bdddc-kkm8j                                1/1     Running                    9 (6h32m ago)    5d22h   10.233.119.138   jain-dgx-server   <none>           <none>
kubeflow                         volumes-web-app-deployment-7f8c75d5b-44vnt                        2/2     Running                    14 (6h52m ago)   5d22h   10.233.119.242   jain-dgx-server   <none>           <none>
kubeflow                         workflow-controller-56cc57796-kl4vb                               2/2     Running                    39 (6h32m ago)   5d22h   10.233.119.214   jain-dgx-server   <none>           <none>
ln-f-jai-cs-23                   f-jai-cs-23                                                       1/1     Running                    0                3m12s   10.233.120.20    jain-dgx-server   <none>           <none>
s-jain-training-1                ml-pipeline-ui-artifact-fb8c99584-xw5sb                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.227   jain-dgx-server   <none>           <none>
s-jain-training-1                ml-pipeline-visualizationserver-6659778c46-p9ph8                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.225   jain-dgx-server   <none>           <none>
s-jain-training-1                test-0                                                            2/2     Running                    0                101m    10.233.120.14    jain-dgx-server   <none>           <none>
