NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE
auth                             dex-767bfc69bd-6wxd6                                              1/1     Running                    6 (3h12m ago)    2d19h
cert-manager                     cert-manager-7fb78674d7-d8xdm                                     1/1     Running                    11 (5h52m ago)   6d17h
cert-manager                     cert-manager-cainjector-5dfc946d84-vchfv                          1/1     Running                    11 (5h52m ago)   6d17h
cert-manager                     cert-manager-webhook-8744b7588-95tsw                              1/1     Running                    12 (5h52m ago)   6d17h
deepops-nfs-client-provisioner   nfs-subdir-external-provisioner-7859dcd666-fn27v                  1/1     Running                    14 (5h52m ago)   6d17h
f-gi-aiml-1                      bert-0                                                            2/2     Running                    0                35m
f-gi-aiml-1                      ml-pipeline-ui-artifact-fb8c99584-ctmfc                           2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-1                      ml-pipeline-visualizationserver-6659778c46-jwprs                  2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-12                     ml-pipeline-ui-artifact-fb8c99584-z9ppr                           2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-12                     ml-pipeline-visualizationserver-6659778c46-mgqn9                  2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-123                    ml-pipeline-ui-artifact-fb8c99584-s9zxh                           2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-123                    ml-pipeline-visualizationserver-6659778c46-86gwj                  2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-1234                   ml-pipeline-ui-artifact-fb8c99584-299kp                           2/2     Running                    8 (5h52m ago)    3d2h
f-gi-aiml-1234                   ml-pipeline-visualizationserver-6659778c46-5hbxw                  2/2     Running                    8 (5h52m ago)    3d2h
f-giindia-support-12             ml-pipeline-ui-artifact-fb8c99584-ppf6h                           2/2     Running                    0                85m
f-giindia-support-12             ml-pipeline-visualizationserver-6659778c46-62js2                  2/2     Running                    0                85m
f-jain-dc-9                      ml-pipeline-ui-artifact-fb8c99584-xdlrt                           2/2     Running                    10 (5h52m ago)   3d19h
f-jain-dc-9                      ml-pipeline-visualizationserver-6659778c46-56vhp                  2/2     Running                    10 (5h52m ago)   3d19h
f-jain-santosh-1234              ml-pipeline-ui-artifact-fb8c99584-nl8zk                           2/2     Running                    10 (5h52m ago)   3d22h
f-jain-santosh-1234              ml-pipeline-visualizationserver-6659778c46-hj8qs                  2/2     Running                    10 (5h52m ago)   3d22h
f-jain-test-1234                 ml-pipeline-ui-artifact-fb8c99584-d2brf                           2/2     Running                    10 (5h52m ago)   3d22h
f-jain-test-1234                 ml-pipeline-visualizationserver-6659778c46-x2kwr                  2/2     Running                    10 (5h52m ago)   3d22h
f-test-test123-1234              ml-pipeline-ui-artifact-fb8c99584-qm9hr                           2/2     Running                    10 (5h52m ago)   4d
f-test-test123-1234              ml-pipeline-visualizationserver-6659778c46-j2p8f                  2/2     Running                    10 (5h52m ago)   4d
gpu-operator                     gpu-feature-discovery-wkp2p                                       1/1     Running                    4 (5h52m ago)    6h5m
gpu-operator                     gpu-operator-784b7c5578-6rrmq                                     1/1     Running                    13 (5h52m ago)   6d17h
gpu-operator                     nvidia-container-toolkit-daemonset-vpwx6                          1/1     Running                    9 (5h52m ago)    6d17h
gpu-operator                     nvidia-cuda-validator-l47bf                                       0/1     Completed                  0                3h11m
gpu-operator                     nvidia-dcgm-exporter-2hdn4                                        1/1     Running                    4 (5h52m ago)    6h5m
gpu-operator                     nvidia-device-plugin-daemonset-cjm9x                              1/1     Running                    7 (5h52m ago)    6h5m
gpu-operator                     nvidia-device-plugin-validator-twk8k                              0/1     UnexpectedAdmissionError   0                3h10m
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-master-6f78fb7c8ttft   1/1     Running                    9 (5h52m ago)    6d17h
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-worker-lt7cp           1/1     Running                    30 (10h ago)     6d17h
gpu-operator                     nvidia-gpu-operator-node-feature-discovery-worker-qhvdq           1/1     Running                    12 (3h10m ago)   6d17h
gpu-operator                     nvidia-mig-manager-w5wnl                                          1/1     Running                    8 (5h52m ago)    6d17h
gpu-operator                     nvidia-operator-validator-5ldhp                                   1/1     Running                    1 (5h52m ago)    6h5m
istio-system                     authservice-0                                                     1/1     Running                    9 (3h15m ago)    6d16h
istio-system                     cluster-local-gateway-675bb7b74-cwff8                             1/1     Running                    9 (5h52m ago)    6d17h
istio-system                     istio-ingressgateway-c7fdd4bf6-fk9xr                              1/1     Running                    9 (5h52m ago)    6d17h
istio-system                     istiod-6995577d4-rqkxf                                            1/1     Running                    9 (5h52m ago)    6d17h
knative-eventing                 eventing-controller-86647cbc5b-74f5h                              1/1     Running                    11 (3h11m ago)   6d17h
knative-eventing                 eventing-webhook-6f48bb5f4c-9g22s                                 1/1     Running                    9 (5h52m ago)    6d17h
knative-serving                  activator-855b695596-gsl4r                                        2/2     Running                    42 (3h10m ago)   6d17h
knative-serving                  autoscaler-7cbddfc9f7-nlkt8                                       2/2     Running                    27 (3h10m ago)   6d17h
knative-serving                  controller-6657c556fd-gh2l8                                       2/2     Running                    52 (3h10m ago)   6d17h
