NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE
kubeflow                         centraldashboard-d45f69689-h8srw                                  2/2     Running                    8 (45h ago)      2d23h
kubeflow                         jupyter-web-app-deployment-57864d5958-hwgcm                       2/2     Running                    8 (45h ago)      2d23h
kubeflow                         katib-controller-7964698977-lvbjp                                 1/1     Running                    4 (45h ago)      2d23h
kubeflow                         katib-db-manager-57474ccbbf-mpmbb                                 1/1     Running                    6 (45h ago)      2d23h
kubeflow                         katib-mysql-66c8cdff4f-4px7x                                      1/1     Running                    4 (45h ago)      2d23h
kubeflow                         katib-ui-57d77d7d75-jqg24                                         2/2     Running                    34 (45h ago)     2d23h
kubeflow                         kserve-controller-manager-96b896c66-txffr                         2/2     Running                    9 (45h ago)      2d23h
kubeflow                         kserve-models-web-app-9fbcd79f5-xmdlm                             2/2     Running                    8 (45h ago)      2d23h
kubeflow                         kubeflow-pipelines-profile-controller-6f6bc888df-qmxng            1/1     Running                    4 (45h ago)      2d23h
kubeflow                         metacontroller-0                                                  1/1     Running                    4 (45h ago)      2d23h
kubeflow                         metadata-envoy-deployment-7b49bdb748-v98w4                        1/1     Running                    4 (45h ago)      2d23h
kubeflow                         metadata-grpc-deployment-6d744c66bb-wfqxl                         2/2     Running                    42 (45h ago)     2d23h
kubeflow                         metadata-writer-5bfdbf79b7-9n4sp                                  2/2     Running                    25 (45h ago)     2d23h
kubeflow                         minio-549846c488-rbjp2                                            2/2     Running                    8 (45h ago)      2d23h
kubeflow                         ml-pipeline-86d69497fc-r96w7                                      2/2     Running                    17 (45h ago)     2d23h
kubeflow                         ml-pipeline-persistenceagent-5789446f9c-zdcj5                     2/2     Running                    19 (45h ago)     2d23h
kubeflow                         ml-pipeline-scheduledworkflow-fb9fbd76b-gtbw4                     2/2     Running                    8 (45h ago)      2d23h
kubeflow                         ml-pipeline-ui-74fcbdddd9-xsl27                                   2/2     Running                    8 (45h ago)      2d23h
kubeflow                         ml-pipeline-viewer-crd-bdf696cb9-pz4cc                            2/2     Running                    31 (45h ago)     2d23h
kubeflow                         ml-pipeline-visualizationserver-845d745b46-md48c                  2/2     Running                    8 (45h ago)      2d23h
kubeflow                         mysql-5f968d4688-ffd8d                                            2/2     Running                    8 (45h ago)      2d23h
