I0416 04:53:45.208255       1 nfd-worker.go:159] Node Feature Discovery Worker v0.12.1
I0416 04:53:45.208309       1 nfd-worker.go:160] NodeName: 'jain-dgx-server'
I0416 04:53:45.208312       1 nfd-worker.go:161] Kubernetes namespace: 'gpu-operator'
I0416 04:53:45.209902       1 nfd-worker.go:416] configuration file "/etc/kubernetes/node-feature-discovery/nfd-worker.conf" parsed
I0416 04:53:45.209959       1 nfd-worker.go:448] worker (re-)configuration successfully completed
I0416 04:53:45.304696       1 local.go:115] starting hooks...
E0416 04:53:45.346438       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0416 04:53:45.347298       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0416 04:53:45.456306       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0416 04:53:45.456605       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx52dfa80fee45/speed: invalid argument
E0416 04:53:45.458485       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0416 04:53:45.458543       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0416 04:53:45.458597       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0416 04:53:45.458797       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0416 04:53:45.458857       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0416 04:53:45.459122       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0416 04:53:45.459476       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0416 04:53:45.460055       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0416 04:53:45.460162       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0416 04:53:45.460224       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0416 04:53:45.506951       1 nfd-worker.go:459] starting feature discovery...
I0416 04:53:45.507390       1 nfd-worker.go:471] feature discovery completed
I0416 04:53:45.597872       1 nfd-worker.go:624] updating NodeFeature object "jain-dgx-server"
I0416 04:54:46.031475       1 local.go:115] starting hooks...
E0416 04:54:46.034042       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0416 04:54:46.034112       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0416 04:54:46.034162       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0416 04:54:46.034221       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx52dfa80fee45/speed: invalid argument
E0416 04:54:46.034262       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0416 04:54:46.034315       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0416 04:54:46.034372       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0416 04:54:46.034427       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0416 04:54:46.034481       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0416 04:54:46.034539       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0416 04:54:46.034598       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0416 04:54:46.034660       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0416 04:54:46.034720       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0416 04:54:46.034776       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0416 04:54:46.072219       1 nfd-worker.go:459] starting feature discovery...
I0416 04:54:46.072551       1 nfd-worker.go:471] feature discovery completed
I0416 04:54:46.169942       1 nfd-worker.go:624] updating NodeFeature object "jain-dgx-server"
I0416 04:55:46.701591       1 local.go:115] starting hooks...
E0416 04:55:46.703912       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0416 04:55:46.703989       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0416 04:55:46.704066       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0416 04:55:46.704147       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx52dfa80fee45/speed: invalid argument
E0416 04:55:46.704206       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0416 04:55:46.704276       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0416 04:55:46.704347       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0416 04:55:46.704416       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0416 04:55:46.704476       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0416 04:55:46.704539       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
