NAMESPACE                        NAME                                                              READY   STATUS      RESTARTS       AGE
kube-system                      kube-apiserver-jain-dgx-server                                    1/1     Running     3 (12h ago)    16h
kube-system                      kube-apiserver-jainhpmgmt                                         1/1     Running     6 (88m ago)    16h
kube-system                      kube-controller-manager-jain-dgx-server                           1/1     Running     5 (12h ago)    16h
kube-system                      kube-controller-manager-jainhpmgmt                                1/1     Running     3 (12h ago)    16h
kube-system                      kube-proxy-2hsl4                                                  1/1     Running     1 (12h ago)    16h
kube-system                      kube-proxy-xdhk6                                                  1/1     Running     1 (12h ago)    16h
kube-system                      kube-scheduler-jain-dgx-server                                    1/1     Running     4 (12h ago)    16h
kube-system                      kube-scheduler-jainhpmgmt                                         1/1     Running     3 (12h ago)    16h
kube-system                      kubernetes-dashboard-5779d79d4c-t4gsj                             1/1     Running     2 (12h ago)    16h
kube-system                      kubernetes-metrics-scraper-6cdb9fb87f-l5k72                       1/1     Running     2 (12h ago)    16h
kube-system                      nodelocaldns-j2v27                                                1/1     Running     0              63m
kube-system                      nodelocaldns-jrzcm                                                1/1     Running     1 (63m ago)    63m
kubeflow-deepops-example-com     ml-pipeline-ui-artifact-fb8c99584-x26n7                           2/2     Running     2 (12h ago)    15h
kubeflow-deepops-example-com     ml-pipeline-visualizationserver-6659778c46-pglw8                  2/2     Running     2 (12h ago)    15h
kubeflow-deepops-example-com     test-0                                                            2/2     Running     0              84m
kubeflow-deepops-example-com     testing-0                                                         2/2     Running     0              57m
kubeflow                         admission-webhook-deployment-7d56d4455f-q5mgb                     1/1     Running     1 (12h ago)    16h
kubeflow                         cache-server-6b44c46d47-cwfcx                                     2/2     Running     6 (12h ago)    16h
kubeflow                         centraldashboard-d45f69689-h8srw                                  2/2     Running     2 (12h ago)    16h
kubeflow                         jupyter-web-app-deployment-57864d5958-hwgcm                       2/2     Running     2 (12h ago)    16h
kubeflow                         katib-controller-7964698977-lvbjp                                 1/1     Running     1 (12h ago)    16h
kubeflow                         katib-db-manager-57474ccbbf-mpmbb                                 1/1     Running     3 (83m ago)    16h
kubeflow                         katib-mysql-66c8cdff4f-4px7x                                      1/1     Running     1 (88m ago)    16h
kubeflow                         katib-ui-57d77d7d75-jqg24                                         2/2     Running     22 (83m ago)   16h
kubeflow                         kserve-controller-manager-96b896c66-txffr                         2/2     Running     2 (12h ago)    16h
kubeflow                         kserve-models-web-app-9fbcd79f5-xmdlm                             2/2     Running     2 (12h ago)    16h
kubeflow                         kubeflow-pipelines-profile-controller-6f6bc888df-qmxng            1/1     Running     1 (12h ago)    16h
kubeflow                         metacontroller-0                                                  1/1     Running     1 (12h ago)    16h
kubeflow                         metadata-envoy-deployment-7b49bdb748-v98w4                        1/1     Running     1 (12h ago)    16h
kubeflow                         metadata-grpc-deployment-6d744c66bb-wfqxl                         2/2     Running     28 (83m ago)   16h
kubeflow                         metadata-writer-5bfdbf79b7-9n4sp                                  2/2     Running     17 (83m ago)   16h
kubeflow                         minio-549846c488-rbjp2                                            2/2     Running     2 (12h ago)    16h
kubeflow                         ml-pipeline-86d69497fc-r96w7                                      2/2     Running     9 (12h ago)    16h
kubeflow                         ml-pipeline-persistenceagent-5789446f9c-zdcj5                     2/2     Running     13 (12h ago)   16h
kubeflow                         ml-pipeline-scheduledworkflow-fb9fbd76b-gtbw4                     2/2     Running     2 (12h ago)    16h
kubeflow                         ml-pipeline-ui-74fcbdddd9-xsl27                                   2/2     Running     2 (12h ago)    16h
kubeflow                         ml-pipeline-viewer-crd-bdf696cb9-pz4cc                            2/2     Running     19 (84m ago)   16h
kubeflow                         ml-pipeline-visualizationserver-845d745b46-md48c                  2/2     Running     2 (12h ago)    16h
kubeflow                         mysql-5f968d4688-ffd8d                                            2/2     Running     2 (88m ago)    16h
kubeflow                         notebook-controller-deployment-7cdb9d9f7b-kbdcc                   2/2     Running     7 (84m ago)    16h
kubeflow                         profiles-deployment-7cf8b9b794-g2llh                              3/3     Running     26 (84m ago)   16h
kubeflow                         tensorboard-controller-deployment-697c566bd5-478bw                3/3     Running     12 (84m ago)   16h
kubeflow                         tensorboards-web-app-deployment-67bf5977c9-49g85                  2/2     Running     2 (12h ago)    16h
kubeflow                         training-operator-64886bdddc-kkm8j                                1/1     Running     1 (12h ago)    16h
kubeflow                         volumes-web-app-deployment-7f8c75d5b-44vnt                        2/2     Running     2 (12h ago)    16h
kubeflow                         workflow-controller-56cc57796-kl4vb                               2/2     Running     8 (84m ago)    16h
